studyName	Sample Number	Species	Region	Island	Stage	Individual ID	Clutch Completion	Date Egg	Culmen Length (mm)	Culmen Depth (mm)	Flipper Length (mm)	Body Mass (g)	Sex	Delta 15 N (o/oo)	Delta 13 C (o/oo)	Comments
FAKE123	138	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N70A1	Yes	2007-02-20	48.7	21.3	161	1835	FEMALE	8.88749	-25.36379	
FAKE123	139	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N70A2	Yes	2009-06-05	41.9	18.3	174	3431	FEMALE	8.45991	-25.84904	
FAKE123	140	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N71A1	Yes	2009-05-30	32.2	15.5	179	2292	FEMALE	7.33186	-24.23536	
FAKE123	141	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N71A2	Yes	2007-02-14	45.5	16.7	178	4625	MALE	7.6234	-23.30116	
FAKE123	142	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N72A1	Yes	2007-06-10	39.5	22.8	184	4051	MALE	8.776	-24.29787	
	143	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N72A2	Yes	2008-02-20	44.3	20.3	168	2030	MALE	9.72997	-26.60636	
FAKE123	144	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torge rsen	Adult, 1 Egg Stage	N73A1	Yes	2009-12-07	34.5	17.9	211	1824	FEMALE	8.8267	-26.17183	
FAKE123	145	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N73A2	No	2008-09-22	49.8	15.0	170	3704	FEMALE	8.61669	-23.29653	
FAKE123	146	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N74A1	Yes	2007-03-23	37.0	17.56	225	3271	FEMALE	9.35452	-26.53387	
FAKE123	147	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N74A2	No	2007-05-08	46.0	20.5	196	1128	MALE	7.0431	-23.65278	
FAKE123	148	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N75A1	Yes	2009-11-10	31.2	18.1	226	1573	FEMALE	7.29406	-24.96255	
FAKE123	149	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N75A2	Yes	2008-09-16	41.4	16.5	214	2533	MALE	9.73007	-26.73113	
FAKE123	150	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N76A1	Yes	2008-02-27	34.6	16.6	216	1062	FEMALE	9.75504	-24.82995	
FAKE123	151	Adelie Penguin (Pygoscelis adeliae)	An vers	Dream	Adult, 1 Egg Stage	N76A2	Yes	2008-12-30	31.4	17.1	227	2463	MALE	8.30661	-26.20754	
FAKE123	152	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N77A1	Yes	2007-04-28	48.4	20.3	180	1996	MALE	7.8808	-23.09413	
FAKE123	153	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N77A2	Yes	2007-01-14	34.2	19.8	224	2588	MALE	9.0175	-24.20441	
FAKE123	154	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N78A1	Yes	2007-01-24	36.2	20.0	217	3761	FEMALE	9.16243	-25.18967	
FAKE123	155	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N78A2	Yes	2007-10-08	48.9	17.6	165	4119	MALE	9.68055	-26.64855	
FAKE123	156	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N79A1	Yes	2009-05-01	45.3	16.8	204	3731	FEMALE	8.92427	-25.44102	
FAKE123	157	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N79A2	Yes	2007-10-13	38.6	21.0	198	2803	MALE	9.49268	-25.44864	
FAKE123	158	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N80A1	Yes	2008-12-29	42.8	18.8	190	1773	FEMALE	8.13448	-25.60982	
FAKE123	159	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N80A2	No	2008-07-10	41.6	21.7	166	4233	MALE	8.34737	-24.59448	
FAKE123	160	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N81A1	Yes	2007-04-29	34.7	22.9	182	4715	FEMALE	8.40338	-26.95276	
FAKE123	161	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N81A2	Yes	2008-04-13	42.7	19.6	205	1359	FEMALE	7.60471	-23.33266	
FAKE123	162	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N82A1	Yes	2007-07-07	38.1	17.3	182	3032	MALE	9.65097	-24.86254	
FAKE123	163	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N82A2	Yes	2007-11-21	46.5	16.7	224	1349	FEMALE	8.62691	-25.26072	
FAKE123	164	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N83A1	Yes	2009-12-09	42.4	21.1	202	2104	MALE	9.40469	-23.04348	
FAKE123	165	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N83A2	Yes	2008-10-15	40.7	17.0	213	4138	MALE	7.58943	-23.93541	
FAKE123	166	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N84A1	Yes	2009-02-22	49.5	20.4	193	2131	MALE	8.86487	-24.33097	
FAKE123	167	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N84A2	No	2007-02-14	39.8	21.1	163	2283	MALE	7.44605	-23.31477	
FAKE123	168	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N85A1	Yes	2007-01-20	50.0	20.1	176	3294	FEMALE	9.13225	-24.8781	
FAKE123	169	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N85A2	Yes	2007-11-07	45.0	17.1	171	3361	FEMALE	8.50894	-25.59559	
FAKE123	170	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N86A1	Yes	2007-09-25	49.9	15.8	161	3619	FEMALE	7.81005	-26.26155	
FAKE123	171	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N86A2	Yes	2008-03-11	44.8	15.8	171	2527	MALE	8.331	-24.63513	
FAKE123	172	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N87A1	Yes	2008-07-25	40.3	21.9	221	3258	FEMALE	9.71922	-26.61189	
FAKE123	173	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N87A2	Yes	2009-06-05	31.8	16.8	179	1141	FEMALE	9.9633	-26.39246	
FAKE123	174	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N88A1	Yes	2009-12-16	40.2	22.5	200	4047	FEMALE	9.6865	-25.19005	
FAKE123	175	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N88A2	Yes	2008-06-26	43.1	15.0	191	3352	MALE	9.4919	-26.4183	
FAKE123	176	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N89A1	Yes	2009-09-04	31.0	22.2	205	1162	FEMALE	7.94276	-25.21265	
FAKE123	177	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N89A2	Yes	2009-04-21	46.7	21.1	204	3799	MALE	7.22907	-23.0091	
FAKE123	178	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N90A1	Yes	2009-08-07	30.6	20.8	182	3504	FEMALE	8.6528	-23.96757	
FAKE123	179	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N90A2	Yes	2008-04-12	39.7	18.7	190	1865	FEMALE	8.26771	-24.1874	
FAKE123	180	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N91A1	Yes	2007-06-08	33.6	18.2	230	1708	MALE	9.343	-24.48435	
FAKE123	181	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N91A2	Yes	2009-02-18	42.7	17.6	197	2596	FEMALE	9.68302	-25.94076	
FAKE123	182	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N92A1	Yes	2007-10-27	34.1	22.1	218	1331	FEMALE	9.62916	-25.49128	
FAKE123	183	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N92A2	Yes	2007-01-11	34.0	18.4	216	2265	FEMALE	9.52557	-25.03405	
FAKE123	184	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N93A1	No	2009-02-17	30.4	22.4	225	2355	MALE	9.95442	-25.76832	
FAKE123	185	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N93A2	Yes	2009-07-23	33.2	22.3	227	4925	MALE	8.45607	-25.45082	
FAKE123	186	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N94A1	Yes	2007-05-16	37.7	16.8	194	1837	MALE	7.71487	-23.51958	
FAKE123	187	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N94A2	Yes	2009-08-22	33.2	18.4	170	4679	FEMALE	8.15644	-26.97866	
FAKE123	188	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N95A1	Yes	2007-08-18	31.0	21.4	200	4889	MALE	7.91439	-24.60597	
FAKE123	189	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N95A2	Yes	2007-02-12	42.5	18.4	205	3206	FEMALE	8.14227	-25.50191	
FAKE123	190	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N96A1	Yes	2009-11-04	43.2	16.7	218	1590	FEMALE	8.37152	-23.15405	
FAKE123	191	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N96A2	Yes	2008-07-17	31.3	19.4	209	4013	FEMALE	9.88137	-26.3401	
FAKE123	192	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N97A1	Yes	2009-07-07	41.9	17.6	210	1359	MALE	9.80654	-24.89177	
FAKE123	193	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N97A2	Yes	2007-04-04	45.3	19.8	212	1285	MALE	9.75584	-25.95818	
FAKE123	194	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N98A1	No	2007-09-05	45.4	17.4	230	3362	FEMALE	9.0704	-23.63918	
FAKE123	195	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N98A2	Yes	2007-12-21	30.8	17.5	216	1881	MALE	7.03678	-26.24845	
FAKE123	196	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N99A1	Ye	2008-07-11	48.8	18.8	171	3516	MALE	9.60226	-25.05716	
FAKE123	197	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N99A2	No	2007-01-16	37.2	16.8	226	4459	FEMALE	7.7633	-26.39311	
FAKE123	198	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N100A1	Yes	2007-04-10	43.3	20.4	208	2616	MALE	7.74828	-24.68854	
FAKE123	199	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N100A2	Yes	2009-08-12	33.9	22.4	179	4588	FEMALE	8.3887	-23.11471	
FAKE123	200	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N101A1	Yes	2009-07-30	34.5	15.4	198	4072	FEMALE	7.44712	-23.42196	
FAKE123	201	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N101A2	Yes	2007-01-28	48.1	22.5	171	2907	FEMALE	8.34666	-23.31575	
FAKE123	202	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N102A1	Yes	2009-12-25	43.2	17.0	223	3663	MALE	7.06898	-25.81263	
FAKE123	203	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N102A2	Yes	2009-10-06	31.7	16.3	195	1391	FEMALE	9.45279	-23.97384	
FAKE123	204	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N103A1	Yes	2008-01-12	38.5	18.2	212	2599	MALE	8.55443	-23.5769	
FAKE123	205	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N103A2	Yes	2009-04-15	38.1	15.1	192	2723	MALE	8.74004	-23.24752	
FAKE123	206	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N104A1	Yes	2009-05-08	46.5	18.3	199	1346	FEMALE	7.75999	-24.64103	
FAKE123	207	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N104A2	Yes	2008-09-20	49.7	20.4	219	3503	MALE	7.84055	-26.96056	
FAKE123	208	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N105A1	Yes	2008-05-17	40.3	16.6	223	2098	MALE	7.08149	-25.9108	
FAKE123	209	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N105A2	Yes	2008-05-11	45.9	17.4	202	2680	MALE	7.64972	-25.68948	
FAKE123	210	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N106A1	Yes	2008-07-12	44.9	16.3	 171	3284	FEMALE	7.68691	-26.49637	
FAKE123	211	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N106A2	Yes	2007-07-02	47.2	18.7	181	2234	FEMALE	9.76215	-26.34767	
FAKE123	212	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N107A1	Yes	2008-08-28	35.0	18.1	207	4610	FEMALE	8.37115	-24.13813	
FAKE123	213	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N107A2	Yes	2007-06-24	35.3	18.9	229	1471	FEMALE	7.48509	-26.46336	
FAKE123	214	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N108A1	Yes	2008-03-06	41.9	18.3	181	2801	MALE	9.93977	-25.01551	
FAKE123	215	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N108A2	Yes	2008-04-09	48.5	19.9	189	2896	FEMALE	7.97817	-24.76936	
FAKE123	216	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N109A1	Yes	2009-06-16	46.0	20.9	192	2411	FEMALE	7.85882	-26.02218	
FAKE123	217	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N109A2	Yes	2009-12-10	47.2	18.1	162	1417	FEMALE	9.71351	-26.04466	
FAKE123	218	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N110A1	Yes	2007-08-14	41.9	20.6	207	1048	MALE	9.97323	-25.9303	
FAKE123	219	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N110A2	Yes	2009-11-18	40.3	22.8	195	1851	MALE	9.24433	-26.88036	
FAKE123	220	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N111A1	Yes	2008-07-15	48.0	21.5	196	1262	MALE	7.45127	-25.18527	
FAKE123	221	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N111A2	Yes	2008-09-01	46.0	20.5	196	3758	FEMALE	7.80744	-24.90765	
FAKE123	222	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N112A1	Yes	2008-05-14	44.9	17.1	204	1152	FEMALE	9.30241	-24.6886	
FAKE123	223	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N112A2	No	2007-07-01	45.9	19.3	179	1749	FEMALE	7.36241	-26.47788	
FAKE123	224	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen		N113A1	Yes	2009-11-14	47.2	20.5	182	2185	FEMALE	9.30903	-25.36678	
FAKE123	225	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N113A2	Yes	2007-11-04	42.1	18.6	199	2236	FEMALE	7.16937	-23.92781	
FAKE123	226	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N114A1	Yes	2009-12-27	37.5	17.8	218	3595	FEMALE	9.87413	-25.92075	
FAKE123	227	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N114A2	Yes	2007-06-01	37.5	18.9	167	1004	MALE	7.22598	-26.18299	
FAKE123	228	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen		N115A1	Yes	2009-09-05	32.6	15.9	168	3488	MALE	8.05784	-26.47513	
FAKE123	229	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N115A2	Yes	2008-09-24	34.3	21.9	173	1566	FEMALE	9.21319	-24.31856	
FAKE123	230	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N116A1	Yes	2009-04-04	48.6	19.8	207	3165	FEMALE	9.94489	-23.33655	
FAKE123	231	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N116A2	Yes	2008-06-24	37.2	19.5	224	2530	MALE	7.04182	-26.99351	
FAKE123	232	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N117A1	Yes	2007-03-04	42.5	21.1	176	2128	FEMALE	7.72798	-26.78595	
FAKE123	233	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N117A2	Yes	2009-02-17	42.6	16.8	192	2314	MALE	7.6068	-23.76209	
FAKE123	234	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N118A1	No	2008-09-12	30.8	19.2	189	2614	MALE	9.20793	-24.18413	
FAKE123	235	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N118A2	Yes	2008-12-03	38.5	20.3	160	4168	FEMALE	8.18871	-23.56251	
FAKE123	236	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N119A1	Yes	2007-10-20	45.1	15.9	212	2168	MALE	8.35295	-26.9728	
FAKE123	237	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N119A2	Yes	2007-10-18	35.0	15.4	229	4084	MALE	9.37964	-24.13351	
FAKE123	238	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N120A1	Yes	2007-07-12	34.7	21.1	189	3958	FEMALE	7.07753	-23.50347	
FAKE123	239	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N120A2	Yes	2009-07-13	41.3	17.7	192	1258	MALE	9.98074	-26.98837	
FAKE123	240	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N121A1	Yes	2008-05-17	46.5	20.3	201	3205	FEMALE	9.57158	-24.5668	
FAKE123	241	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N121A2	Yes	2009-05-13	45.5	21.5	162	3047	MALE	9.21185	-25.57262	
FAKE123	242	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N122A1	Yes	2008-12-26	30.6	15.3	223	3780	FEMALE	9.79721	-25.16667	
FAKE123	243	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N122A2	Yes	2009-01-20	39.1	17.6	199	2763	MALE	8.14926	-26.48938	
FAKE123	244	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N123A1	No	2008-06-28	41.2	16.9	222	4205	FEMALE	9.57557	-25.21144	
FAKE123	245	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N123A2	Yes	2009-11-29	45.2	16.2	199	4662	MALE	9.64192	-26.26779	None 
FAKE123	246	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N124A1	Yes	2007-10-17	31.2	16.7	219	3306	MALE	9.95252	-25.64582	
FAKE123	247	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N124A2	Yes	2008-01-11	32.6	16.2	174	2255	FEMALE	8.91518	-26.0537	
FAKE123	248	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N125A1	Yes	2007-07-28	36.8	21.2	215	3741	FEMALE	8.97536	-26.23756	
FAKE123	249	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N125A2	Yes	2007-08-11	39.2	18.7	217	2407	MALE	7.85075	-24.58217	
FAKE123	250	Adelie Penguin (Pygoscelis adeliae)	Anvers		Adult, 1 Egg Stage	N126A1	Yes	2009-10-15	48.6	19.0	182	1358	FEMALE	7.8555	-25.57231	
FAKE123	251	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N126A2	Yes	2008-06-28	49.5	15.0	184	3696	FEMALE	7.97807	-26.11	
FAKE123	252	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N127A1	Yes	2008-12-04	31.3	19.8	171	2601	FEMALE	9.54089	-23.52303	
FAKE123	253	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N127A2	Yes	2007-07-20	32.4	18.6	170	3362	MALE	8.1372	-23.08026	
FAKE123	254	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N128A1	Yes	2008-11-06	46.5	20.1	193	4656	MALE	7.84851	-23.20214	
FAKE123	255	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N128A2	Yes	2008-11-27	32.3	19.2	226	2738	FEMALE	9.40469	-26.70503	
FAKE123	256	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N129A1	Yes	2007-02-05	49.5	20.6	215	1407	FEMALE	8.17802	-26.3652	
FAKE123	257	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N129A2	Yes	2008-10-21	42.3	2.4	194	4169	FEMALE	7.09555	-23.7338	
FAKE123	258	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N130A1	Yes	2007-02-02	41.6	21.7	227	3299	FEMALE	9.20112	-25.33539	
FAKE123	259	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N130A2	Yes	2009-12-28	30.6	21.1	177	1005	MALE	9.94645	-26.90182	
FAKE123	260	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N131A1	No	2009-04-25	31.6	15.6	189	3998	MALE	8.88662	-24.99296	
FAKE123	261	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N131A2	Yes	2009-12-08	44.5	15.0	217	4022	MALE	9.17529	-26.1954	
FAKE123	262	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N132A1	No	2008-05-29	37.5	20.7	203	3144	FEMALE	9.5751	-25.27147	
FAKE123	263	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N132A2	Yes	2008-07-29	49.3	18.5	161	1876	FEMALE	8.56644	-24.88625	
FAKE123	264	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N133A1	Yes	2007-10-30	34.9	15.9	194	3058	MALE	7.9697	-23.53255	
FAKE123	265	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N133A2	Yes	2007-02-27	31.3	21.6	164	3879	MALE	7.49528	-23.89999	
FAKE123	266	Adelie Penguin (Pygoscelis adeliae)	Anvers	Trgersen	Adult, 1 Egg Stage	N134A1	Yes	2007-07-16	33.2	19.2	226	1832	MALE	9.98892	-24.67222	
FAKE123	267	Adelie Penguin (Pygoscelis adeliae)	Anvers		Adult, 1 Egg Stage	N134A2	No	2007-03-30	47.6	18.4	195	4245	FEMALE	7.8868	-24.66381	
FAKE123	268	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N135A1	Yes	2007-06-14	36.3	19.2	214	3413	MALE	8.72076	-26.65653	
FAKE123	269	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N135A2	Yes	2009-01-12	38.4	17.1	171	3295	FEMALE	9.40228	-26.96742	
FAKE123	270	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N136A1	Yes	2008-12-03	39.9	18.4	219	2160	MALE	9.12062	-26.87536	
FAKE123	271	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N136A2	Yes	2009-03-16	41.3	15.0	201	4716	MALE	9.17109	-26.86022	
FAKE123	272	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N137A1	Yes	2009-08-28	43.6	16.7	213	4364	FEMALE	7.69324	-23.37258	
FAKE123	273	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N137A2	Yes	2007-08-29	48.3	17.4	163	4249	FEMALE	8.72916	-25.61426	
FAKE123	274	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N138A1	Yes	2008-07-30	35.7	21.0	161	3137	FEMALE	8.76657	-25.87608	
FAKE123	275	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N138A2	Yes	2008-04-26	33.0	19.5	208	1632	FEMALE	8.34042	-23.27372	
